elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Connect
693,/birthday-horoscope/aries,200,OK,Birthday Page - Thread Group 1-1,text,true,148560,286,1,1,https://dev.horoscope.com/birthday-horoscope/aries,71,30
345,/us/games/divination/game-magic-8-ball.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,151223,322,1,1,https://dev.horoscope.com/us/games/divination/game-magic-8-ball.aspx,67,28
461,/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=1,200,OK,Birthday Page - Thread Group 1-1,text,true,170063,360,1,1,https://dev.horoscope.com/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=1,64,28
341,/birthday-horoscope/taurus,200,OK,Birthday Page - Thread Group 1-1,text,true,148488,288,1,1,https://dev.horoscope.com/birthday-horoscope/taurus,66,28
619,/us/tarot/tarot-angel.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,154259,288,1,1,https://dev.horoscope.com/us/tarot/tarot-angel.aspx,66,28
607,/birth-chart/,200,OK,Birthday Page - Thread Group 1-1,text,true,36878,383,1,1,https://sites.horoscope.com/,67,28
360,/us/games/index-games-love.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,151560,298,1,1,https://dev.horoscope.com/us/games/index-games-love.aspx,79,28
355,/birthday-horoscope/leo,200,OK,Birthday Page - Thread Group 1-1,text,true,148413,282,1,1,https://dev.horoscope.com/birthday-horoscope/leo,71,27
332,/birthday-horoscope/virgo,200,OK,Birthday Page - Thread Group 1-1,text,true,148395,286,1,1,https://dev.horoscope.com/birthday-horoscope/virgo,63,28
337,/fr/index.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,138202,264,1,1,https://dev.horoscope.com/fr/index.aspx,67,29
343,/zodiac-signs/taurus,200,OK,Birthday Page - Thread Group 1-1,text,true,157901,276,1,1,https://dev.horoscope.com/zodiac-signs/taurus,68,28
1583,/us/horoscopes/yearly/2023-horoscope-aries.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,145825,330,1,1,https://dev.horoscope.com/us/horoscopes/yearly/2023-horoscope-aries.aspx,68,29
339,/us/games/divination/game-cupids-oracle.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,151845,324,1,1,https://dev.horoscope.com/us/games/divination/game-cupids-oracle.aspx,65,28
337,/birthday-horoscope/aquarius,200,OK,Birthday Page - Thread Group 1-1,text,true,148597,292,1,1,https://dev.horoscope.com/birthday-horoscope/aquarius,65,27
334,/us/horoscopes/general/horoscope-overview-daily-today.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,160795,352,1,1,https://dev.horoscope.com/us/horoscopes/general/horoscope-overview-daily-today.aspx,68,29
524,/us/games/divination/game-ask-genie.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,150045,316,1,1,https://dev.horoscope.com/us/games/divination/game-ask-genie.aspx,64,28
541,/zodiac-signs/gemini,200,OK,Birthday Page - Thread Group 1-1,text,true,158472,276,1,1,https://dev.horoscope.com/zodiac-signs/gemini,62,28
330,/css-US/main.css?v=2023012710,200,OK,Birthday Page - Thread Group 1-1,text,true,107362,294,1,1,https://dev.horoscope.com/css-US/main.css?v=2023012710,69,28
277,/us/sitemap.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,14475,268,1,1,https://dev.horoscope.com/us/sitemap.aspx,64,28
347,/birthday-horoscope/scorpio,200,OK,Birthday Page - Thread Group 1-1,text,true,148606,290,1,1,https://dev.horoscope.com/birthday-horoscope/scorpio,66,27
278,/mercury-retrograde/,404,Not Found,Birthday Page - Thread Group 1-1,text,false,1882,276,1,1,https://dev.horoscope.com/mercury-retrograde/,69,28
332,/us/games/divination/game-luck-meter.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,151508,318,1,1,https://dev.horoscope.com/us/games/divination/game-luck-meter.aspx,62,29
505,/birthday-horoscope/gemini,200,OK,Birthday Page - Thread Group 1-1,text,true,148407,288,1,1,https://dev.horoscope.com/birthday-horoscope/gemini,64,28
521,/tarot/tarot-yes-no.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,152991,284,1,1,https://dev.horoscope.com/tarot/tarot-yes-no.aspx,67,28
336,/psychics/tarot.html,200,OK,Birthday Page - Thread Group 1-1,text,true,139338,276,1,1,https://dev.horoscope.com/psychics/tarot.html,70,29
342,/us/games/divination/game-love-fairy.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,153473,318,1,1,https://dev.horoscope.com/us/games/divination/game-love-fairy.aspx,64,28
282,/celebrities/,404,Not Found,Birthday Page - Thread Group 1-1,text,false,1875,262,1,1,https://dev.horoscope.com/celebrities/,65,28
325,/us/about-us.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,141856,270,1,1,https://dev.horoscope.com/us/about-us.aspx,64,28
324,/us/tarot/tarot-daily.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,152849,288,1,1,https://dev.horoscope.com/us/tarot/tarot-daily.aspx,61,28
55,/us/horoscopes/numerology/index-horoscope-numerology.aspx,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Birthday Page - Thread Group 1-1,text,false,2669,0,1,1,http://dev.horoscope.com/us/horoscopes/numerology/index-horoscope-numerology.aspx,0,29
795,/birthday-horoscope/aries,200,OK,Birthday Page - Thread Group 1-1,text,true,148465,286,1,1,https://dev.horoscope.com/birthday-horoscope/aries,180,125
497,/us/games/divination/game-magic-8-ball.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,151016,322,1,1,https://dev.horoscope.com/us/games/divination/game-magic-8-ball.aspx,73,29
426,/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=1,200,OK,Birthday Page - Thread Group 1-1,text,true,169871,360,1,1,https://dev.horoscope.com/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=1,75,27
369,/birthday-horoscope/taurus,200,OK,Birthday Page - Thread Group 1-1,text,true,148465,288,1,1,https://dev.horoscope.com/birthday-horoscope/taurus,68,29
377,/us/tarot/tarot-angel.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,154270,288,1,1,https://dev.horoscope.com/us/tarot/tarot-angel.aspx,77,29
2269,/birth-chart/,200,OK,Birthday Page - Thread Group 1-1,text,true,36862,383,1,1,https://sites.horoscope.com/,77,28
360,/us/games/index-games-love.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,151570,298,1,1,https://dev.horoscope.com/us/games/index-games-love.aspx,79,29
379,/birthday-horoscope/leo,200,OK,Birthday Page - Thread Group 1-1,text,true,148519,282,1,1,https://dev.horoscope.com/birthday-horoscope/leo,74,29
385,/birthday-horoscope/virgo,200,OK,Birthday Page - Thread Group 1-1,text,true,148477,286,1,1,https://dev.horoscope.com/birthday-horoscope/virgo,69,29
563,/fr/index.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,138118,264,1,1,https://dev.horoscope.com/fr/index.aspx,82,32
367,/zodiac-signs/taurus,200,OK,Birthday Page - Thread Group 1-1,text,true,157894,276,1,1,https://dev.horoscope.com/zodiac-signs/taurus,68,28
372,/us/horoscopes/yearly/2023-horoscope-aries.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,145711,330,1,1,https://dev.horoscope.com/us/horoscopes/yearly/2023-horoscope-aries.aspx,68,27
376,/us/games/divination/game-cupids-oracle.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,151768,324,1,1,https://dev.horoscope.com/us/games/divination/game-cupids-oracle.aspx,76,29
365,/birthday-horoscope/aquarius,200,OK,Birthday Page - Thread Group 1-1,text,true,148451,292,1,1,https://dev.horoscope.com/birthday-horoscope/aquarius,63,29
388,/us/horoscopes/general/horoscope-overview-daily-today.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,160674,352,1,1,https://dev.horoscope.com/us/horoscopes/general/horoscope-overview-daily-today.aspx,83,33
559,/us/games/divination/game-ask-genie.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,150044,316,1,1,https://dev.horoscope.com/us/games/divination/game-ask-genie.aspx,94,44
384,/zodiac-signs/gemini,200,OK,Birthday Page - Thread Group 1-1,text,true,158694,276,1,1,https://dev.horoscope.com/zodiac-signs/gemini,84,34
305,/us/sitemap.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,14490,268,1,1,https://dev.horoscope.com/us/sitemap.aspx,65,27
443,/birthday-horoscope/scorpio,200,OK,Birthday Page - Thread Group 1-1,text,true,148413,290,1,1,https://dev.horoscope.com/birthday-horoscope/scorpio,93,43
303,/mercury-retrograde/,404,Not Found,Birthday Page - Thread Group 1-1,text,false,1882,276,1,1,https://dev.horoscope.com/mercury-retrograde/,71,29
376,/us/games/divination/game-luck-meter.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,151502,318,1,1,https://dev.horoscope.com/us/games/divination/game-luck-meter.aspx,94,44
379,/birthday-horoscope/gemini,200,OK,Birthday Page - Thread Group 1-1,text,true,148533,288,1,1,https://dev.horoscope.com/birthday-horoscope/gemini,86,45
364,/tarot/tarot-yes-no.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,153184,284,1,1,https://dev.horoscope.com/tarot/tarot-yes-no.aspx,87,37
341,/psychics/tarot.html,200,OK,Birthday Page - Thread Group 1-1,text,true,139323,276,1,1,https://dev.horoscope.com/psychics/tarot.html,72,28
380,/us/games/divination/game-love-fairy.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,153482,318,1,1,https://dev.horoscope.com/us/games/divination/game-love-fairy.aspx,80,30
299,/celebrities/,404,Not Found,Birthday Page - Thread Group 1-1,text,false,1875,262,1,1,https://dev.horoscope.com/celebrities/,69,29
353,/us/about-us.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,141989,270,1,1,https://dev.horoscope.com/us/about-us.aspx,69,27
349,/us/tarot/tarot-daily.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,152978,288,1,1,https://dev.horoscope.com/us/tarot/tarot-daily.aspx,72,28
365,/us/horoscopes/numerology/index-horoscope-numerology.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,163319,350,1,1,https://dev.horoscope.com/us/horoscopes/numerology/index-horoscope-numerology.aspx,70,27
479,/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=1,200,OK,Birthday Page - Thread Group 1-1,text,true,162619,354,1,1,https://dev.horoscope.com/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=1,79,29
361,/us/privacy.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,182042,268,1,1,https://dev.horoscope.com/us/privacy.aspx,64,28
361,/us/planets/index.html,200,OK,Birthday Page - Thread Group 1-1,text,true,155774,280,1,1,https://dev.horoscope.com/us/planets/index.html,88,37
225,/images-US/horoscope-logo.svg,200,OK,Birthday Page - Thread Group 1-1,text,true,4581,294,1,1,https://dev.horoscope.com/images-US/horoscope-logo.svg,75,29
372,/us/tarot/tarot-today-tomorrow.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,152120,306,1,1,https://dev.horoscope.com/us/tarot/tarot-today-tomorrow.aspx,67,28
476,/zodiac-signs/virgo,200,OK,Birthday Page - Thread Group 1-1,text,true,157124,274,1,1,https://dev.horoscope.com/zodiac-signs/virgo,76,28
355,/us/tarot/index-tarot-reading-love.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,150769,314,1,1,https://dev.horoscope.com/us/tarot/index-tarot-reading-love.aspx,71,28
493,/us/tarot/index-tarot-reading.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,163391,304,1,1,https://dev.horoscope.com/us/tarot/index-tarot-reading.aspx,93,43
365,/zodiac-signs/pisces,200,OK,Birthday Page - Thread Group 1-1,text,true,157543,276,1,1,https://dev.horoscope.com/zodiac-signs/pisces,73,29
383,/us/tarot/index-tarot-reading-unique.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,150997,318,1,1,https://dev.horoscope.com/us/tarot/index-tarot-reading-unique.aspx,83,33
349,/birthday-horoscope/libra,200,OK,Birthday Page - Thread Group 1-1,text,true,148568,286,1,1,https://dev.horoscope.com/birthday-horoscope/libra,69,28
354,/us/games/divination/game-love-cookie.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,150655,320,1,1,https://dev.horoscope.com/us/games/divination/game-love-cookie.aspx,61,29
359,/psychics/psychics.html,200,OK,Birthday Page - Thread Group 1-1,text,true,139359,282,1,1,https://dev.horoscope.com/psychics/psychics.html,94,44
542,/us/advertise.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,145349,272,1,1,https://dev.horoscope.com/us/advertise.aspx,84,34
418,/us/games/divination/game-crystal-ball.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,150796,322,1,1,https://dev.horoscope.com/us/games/divination/game-crystal-ball.aspx,88,37
496,/us/games/index-games-instant-advice.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,150309,318,1,1,https://dev.horoscope.com/us/games/index-games-instant-advice.aspx,75,30
420,/birthday-horoscope/pisces,200,OK,Birthday Page - Thread Group 1-1,text,true,148618,288,1,1,https://dev.horoscope.com/birthday-horoscope/pisces,79,30
404,/us/index.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,151723,264,1,1,https://dev.horoscope.com/us/index.aspx,99,30
312,/images-US/psychic/quote.png,200,OK,Birthday Page - Thread Group 1-1,bin,true,1350,292,1,1,https://dev.horoscope.com/images-US/psychic/quote.png,94,44
356,/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=1,200,OK,Birthday Page - Thread Group 1-1,text,true,171939,364,1,1,https://dev.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=1,63,31
374,/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=1,200,OK,Birthday Page - Thread Group 1-1,text,true,171588,352,1,1,https://dev.horoscope.com/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=1,74,28
450,/us/tos.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,195577,260,1,1,https://dev.horoscope.com/us/tos.aspx,68,28
348,/psychics/love.html,200,OK,Birthday Page - Thread Group 1-1,text,true,139396,274,1,1,https://dev.horoscope.com/psychics/love.html,61,29
352,/zodiac-signs/aries,200,OK,Birthday Page - Thread Group 1-1,text,true,156803,274,1,1,https://dev.horoscope.com/zodiac-signs/aries,67,29
374,/zodiac-signs/cancer,200,OK,Birthday Page - Thread Group 1-1,text,true,158360,276,1,1,https://dev.horoscope.com/zodiac-signs/cancer,94,44
434,/us/tarot/tarot-lovers-triangle.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,153336,308,1,1,https://dev.horoscope.com/us/tarot/tarot-lovers-triangle.aspx,72,27
362,/birthday-horoscope/cancer,200,OK,Birthday Page - Thread Group 1-1,text,true,148517,288,1,1,https://dev.horoscope.com/birthday-horoscope/cancer,84,34
371,/astrology/,404,Not Found,Birthday Page - Thread Group 1-1,text,false,1873,258,1,1,https://dev.horoscope.com/astrology/,91,27
